Network;inetnum;status;netname;descr;route-obj;route-descr;route-origin
195.24.51.160/28;195.24.51.0 - 195.24.51.255;ASSIGNED PA;MTELNET;PPPoE Targovishte i Ruse;195.24.51.0/24;PPPoE Targovishte i Ruse;AS29580
195.149.254.32/27;195.149.248.0 - 195.149.255.255;ASSIGNED PI;HOMELAN;;195.149.248.0/21;HomeLan Ltd;AS8717
92.247.22.128/25;92.247.16.0 - 92.247.23.255;ASSIGNED PA;MTELNET;Mobiltel EAD;92.247.16.0/20;Mobiltel EAD PA space;AS8717
92.247.234.0/27;92.247.232.0 - 92.247.239.255;ASSIGNED PA;GPON-Sofia;GPON Services;92.247.192.0/18;SPNET;AS29580
89.215.210.192/27;89.215.210.192 - 89.215.210.223;ASSIGNED PA;GARIBALDI-KAFE;Sofia,Bulgaria;89.215.128.0/17;A1 BG;AS13124
213.169.61.32/28;213.169.61.0 - 213.169.61.255;ASSIGNED PA;SPNET;Spectrum NET Ltd., Sofia;213.169.61.0/24;Spectrum NET,BG-ONLY NETS;AS8717
92.247.243.32/27;92.247.240.0 - 92.247.255.255;ASSIGNED PA;SPECTRUMNET;Broadband Services;92.247.192.0/18;SPNET;AS29580
92.247.231.224/28;92.247.224.0 - 92.247.231.255;ASSIGNED PA;GPON-SofiaCenter;GPON Services;92.247.192.0/18;SPNET;AS29580
212.36.23.192/26;212.36.23.0 - 212.36.23.255;ASSIGNED PA;SPNET;Spectrum Net Infrastructure;212.36.0.0/19;Spectrum NET PA space;AS8717
195.24.58.48/28;195.24.58.0 - 195.24.58.255;ASSIGNED PA;ORBITEL-NET-1;Orbitel Inc,Sofia, Bulgaria;195.24.58.0/24;ORBITEL-NET-1;AS8672
92.247.232.64/28;92.247.232.0 - 92.247.239.255;ASSIGNED PA;GPON-Sofia;GPON Services;92.247.192.0/18;SPNET;AS29580
92.247.253.80/28;92.247.240.0 - 92.247.255.255;ASSIGNED PA;SPECTRUMNET;Broadband Services;92.247.192.0/18;SPNET;AS29580
92.247.193.128/25;92.247.192.0 - 92.247.199.255;ASSIGNED PA;GPON-SofiaEast;GPON Services;92.247.192.0/18;SPNET;AS29580
